company_id;person_id;position;telephone;email;lpr;life_position;attitude;values1;img;full_name;is_select;Gender
00001;1;Владелец;+7(495)501-82-39;rand.em@rand.ru;да;Да;Положительное;польза для компании, самосовершенстование;https://st.depositphotos.com/1008939/1806/i/600/depositphotos_18062163-stock-photo-handsome-man.jpg;Семёнов Николай Игоревич;0;м
00001;2;Генеральный директор;+7(495)780-48-59;rand.em@rand.ru;да;Да;Положительное;польза для компании, самосовершенстование;https://meragor.com/files/styles//220_220_bottom_wm/lico-na-avu-060.jpg;Анисимов Иосиф Артемович;0;м
00001;3;Финансовый директор;+7(495)561-84-47;rand.em@rand.ru;да;Да;Настороженное;польза для компании, самосовершенстование;https://meragor.com/files/styles//220_220_bottom_wm/sfztn_girl_avatar_36.jpg;Мичуева Раиса Фомевна;1;ж
00001;4;Маркетинговый директор;+7(495)646-22-35;rand.em@rand.ru;да;Да;Положительное;польза для компании, самосовершенстование;https://st.depositphotos.com/1007995/1274/i/600/depositphotos_12746726-stock-photo-fashion-man-wearing-sunglasses-thinking.jpg;Анисимов Кирилл Антонович;0;м
00001;5;Главный бухгалтер;+7(495)476-61-63;rand.em@rand.ru;нет;Нет;Негативное;польза для компании, самосовершенстование;https://st.depositphotos.com/1987395/1947/i/600/depositphotos_19473595-stock-photo-young-casual-business-man.jpg;Фролов Степан Тихонович;0;м
00001;6;Коммерческий директор;+7(495)543-39-36;rand.em@rand.ru;да;Нет;Положительное;польза для компании, самосовершенстование;https://meragor.com/files/styles//220_220_bottom_wm/7_6.jpg;Булгакова Анфиса Савельевна;0;ж
00002;7;Владелец;+7(495)983-33-10;rand.em@rand.ru;да;Да;Положительное;польза для компании, самосовершенстование;https://meragor.com/files/styles//220_220_bottom_wm/lico-na-avu-007.jpg;Большаков Вячеслав Ильяович;0;м
00002;8;Генеральный директор;+7(495)562-80-77;rand.em@rand.ru;да;Да;Положительное;польза для компании, самосовершенстование;https://st2.depositphotos.com/1004239/6238/i/600/depositphotos_62383165-stock-photo-handsome-young-man-portrait.jpg;Дорофеев Пантелеймон Анатольевич;0;м
00002;9;Финансовый директор;+7(495)530-69-44;rand.em@rand.ru;да;Да;Настороженное;польза для компании, самосовершенстование;https://static3.depositphotos.com/1004239/185/i/600/depositphotos_1855888-stock-photo-young-woman-in-park.jpg;Нагибина Нина Адамовна;1;ж
00002;10;Маркетинговый директор;+7(495)888-81-53;rand.em@rand.ru;да;Да;Положительное;польза для компании, самосовершенстование;https://meragor.com/files/styles//220_220_bottom_wm/lico-na-avu-051.jpg;Владимиров Гордей Тарасович;0;м
